From,To,Train,Start Time,End Time
Dromod,Boyle,205,17:05,17:37
Dromod,Boyle,206,18:08,18:33
Dromod,Boyle,207,19:12,19:42
Dromod,Boyle,210,21:33,21:57
Dromod,Boyle,T1,06:33,06:57
Boyle,Sligo,201,09:39,10:16
Boyle,Sligo,202,11:40,12:17
Boyle,Sligo,203,13:41,14:18
Boyle,Sligo,204,15:41,16:18
Boyle,Sligo,205,17:41,18:18
Boyle,Sligo,206,18:34,19:13
Boyle,Sligo,207,19:45,20:23
Boyle,Sligo,210,21:58,22:35
Boyle,Sligo,T1,06:58,07:34
Enfield,Killucan,206,16:53,17:08
Enfield,Killucan,222,19:08,19:20
Killucan,Mullingar,206,17:09,17:18
Killucan,Mullingar,222,19:21,19:29
